Sprache,Schulart,Klassenstufe,Bundesland,Anzahl
Englisch,Hauptschulen,8. Klassenstufe,Sachsen,0
Englisch,Hauptschulen,8. Klassenstufe,Sachsen-Anhalt,0
Englisch,Hauptschulen,8. Klassenstufe,Schleswig-Holstein,0
Englisch,Hauptschulen,8. Klassenstufe,Thüringen,0
Englisch,Hauptschulen,9. Klassenstufe,Baden-Württemberg,26114
Englisch,Hauptschulen,9. Klassenstufe,Bayern,42839
Englisch,Hauptschulen,9. Klassenstufe,Berlin,0
Englisch,Hauptschulen,9. Klassenstufe,Brandenburg,0
Englisch,Hauptschulen,9. Klassenstufe,Bremen,0
Englisch,Hauptschulen,9. Klassenstufe,Hamburg,0
Englisch,Hauptschulen,9. Klassenstufe,Hessen,5963
Englisch,Hauptschulen,9. Klassenstufe,Mecklenburg-Vorpommern,0
Englisch,Hauptschulen,9. Klassenstufe,Niedersachsen,9548
Englisch,Hauptschulen,9. Klassenstufe,Nordrhein-Westfalen,31311
Englisch,Hauptschulen,9. Klassenstufe,Rheinland-Pfalz,106
Englisch,Hauptschulen,9. Klassenstufe,Saarland,0
Englisch,Hauptschulen,9. Klassenstufe,Sachsen,0
Englisch,Hauptschulen,9. Klassenstufe,Sachsen-Anhalt,0
Englisch,Hauptschulen,9. Klassenstufe,Schleswig-Holstein,0
Englisch,Hauptschulen,9. Klassenstufe,Thüringen,0
Englisch,Hauptschulen,10. Klassenstufe,Baden-Württemberg,12686
Englisch,Hauptschulen,10. Klassenstufe,Bayern,15796
Englisch,Hauptschulen,10. Klassenstufe,Berlin,0
Englisch,Hauptschulen,10. Klassenstufe,Brandenburg,0
Englisch,Hauptschulen,10. Klassenstufe,Bremen,0
Englisch,Hauptschulen,10. Klassenstufe,Hamburg,0
Englisch,Hauptschulen,10. Klassenstufe,Hessen,853
Englisch,Hauptschulen,10. Klassenstufe,Mecklenburg-Vorpommern,0
Englisch,Hauptschulen,10. Klassenstufe,Niedersachsen,10065
Englisch,Hauptschulen,10. Klassenstufe,Nordrhein-Westfalen,28591
Englisch,Hauptschulen,10. Klassenstufe,Rheinland-Pfalz,18
Englisch,Hauptschulen,10. Klassenstufe,Saarland,0
Englisch,Hauptschulen,10. Klassenstufe,Sachsen,0
Englisch,Hauptschulen,10. Klassenstufe,Sachsen-Anhalt,0
Englisch,Hauptschulen,10. Klassenstufe,Schleswig-Holstein,0
Englisch,Hauptschulen,10. Klassenstufe,Thüringen,0
Englisch,Hauptschulen,Bereich unbekannt,Baden-Württemberg,77
Englisch,Hauptschulen,Bereich unbekannt,Bayern,0
Englisch,Hauptschulen,Bereich unbekannt,Berlin,0
Englisch,Hauptschulen,Bereich unbekannt,Brandenburg,0
Englisch,Hauptschulen,Bereich unbekannt,Bremen,0
Englisch,Hauptschulen,Bereich unbekannt,Hamburg,0
Englisch,Hauptschulen,Bereich unbekannt,Hessen,0
Englisch,Hauptschulen,Bereich unbekannt,Mecklenburg-Vorpommern,0
Englisch,Hauptschulen,Bereich unbekannt,Niedersachsen,1170
Englisch,Hauptschulen,Bereich unbekannt,Nordrhein-Westfalen,799
Englisch,Hauptschulen,Bereich unbekannt,Rheinland-Pfalz,0
Englisch,Hauptschulen,Bereich unbekannt,Saarland,0
Englisch,Hauptschulen,Bereich unbekannt,Sachsen,0
Englisch,Hauptschulen,Bereich unbekannt,Sachsen-Anhalt,0
Englisch,Hauptschulen,Bereich unbekannt,Schleswig-Holstein,0
Englisch,Hauptschulen,Bereich unbekannt,Thüringen,0
Englisch,Schularten mit mehreren Bildungsgängen,5. Klassenstufe,Baden-Württemberg,0
Englisch,Schularten mit mehreren Bildungsgängen,5. Klassenstufe,Bayern,0
Englisch,Schularten mit mehreren Bildungsgängen,5. Klassenstufe,Berlin,0
Englisch,Schularten mit mehreren Bildungsgängen,5. Klassenstufe,Brandenburg,0
Englisch,Schularten mit mehreren Bildungsgängen,5. Klassenstufe,Bremen,0
Englisch,Schularten mit mehreren Bildungsgängen,5. Klassenstufe,Hamburg,0
Englisch,Schularten mit mehreren Bildungsgängen,5. Klassenstufe,Hessen,874
Englisch,Schularten mit mehreren Bildungsgängen,5. Klassenstufe,Mecklenburg-Vorpommern,10254
Englisch,Schularten mit mehreren Bildungsgängen,5. Klassenstufe,Niedersachsen,16060
Englisch,Schularten mit mehreren Bildungsgängen,5. Klassenstufe,Nordrhein-Westfalen,14463
Englisch,Schularten mit mehreren Bildungsgängen,5. Klassenstufe,Rheinland-Pfalz,11734
Englisch,Schularten mit mehreren Bildungsgängen,5. Klassenstufe,Saarland,4
Englisch,Schularten mit mehreren Bildungsgängen,5. Klassenstufe,Sachsen,17926
Englisch,Schularten mit mehreren Bildungsgängen,5. Klassenstufe,Sachsen-Anhalt,6333
Englisch,Schularten mit mehreren Bildungsgängen,5. Klassenstufe,Schleswig-Holstein,0
Englisch,Schularten mit mehreren Bildungsgängen,5. Klassenstufe,Thüringen,7602
Englisch,Schularten mit mehreren Bildungsgängen,6. Klassenstufe,Baden-Württemberg,0
Englisch,Schularten mit mehreren Bildungsgängen,6. Klassenstufe,Bayern,0
Englisch,Schularten mit mehreren Bildungsgängen,6. Klassenstufe,Berlin,0
Englisch,Schularten mit mehreren Bildungsgängen,6. Klassenstufe,Brandenburg,0
Englisch,Schularten mit mehreren Bildungsgängen,6. Klassenstufe,Bremen,0
Englisch,Schularten mit mehreren Bildungsgängen,6. Klassenstufe,Hamburg,0
Englisch,Schularten mit mehreren Bildungsgängen,6. Klassenstufe,Hessen,988
Englisch,Schularten mit mehreren Bildungsgängen,6. Klassenstufe,Mecklenburg-Vorpommern,10396
Englisch,Schularten mit mehreren Bildungsgängen,6. Klassenstufe,Niedersachsen,16263
Englisch,Schularten mit mehreren Bildungsgängen,6. Klassenstufe,Nordrhein-Westfalen,14654
Englisch,Schularten mit mehreren Bildungsgängen,6. Klassenstufe,Rheinland-Pfalz,13069
Englisch,Schularten mit mehreren Bildungsgängen,6. Klassenstufe,Saarland,8
Englisch,Schularten mit mehreren Bildungsgängen,6. Klassenstufe,Sachsen,17598
Englisch,Schularten mit mehreren Bildungsgängen,6. Klassenstufe,Sachsen-Anhalt,6781
Englisch,Schularten mit mehreren Bildungsgängen,6. Klassenstufe,Schleswig-Holstein,40
Englisch,Schularten mit mehreren Bildungsgängen,6. Klassenstufe,Thüringen,7504
Englisch,Schularten mit mehreren Bildungsgängen,7. Klassenstufe,Baden-Württemberg,0
Englisch,Schularten mit mehreren Bildungsgängen,7. Klassenstufe,Bayern,0
Englisch,Schularten mit mehreren Bildungsgängen,7. Klassenstufe,Berlin,0
Englisch,Schularten mit mehreren Bildungsgängen,7. Klassenstufe,Brandenburg,7810
Englisch,Schularten mit mehreren Bildungsgängen,7. Klassenstufe,Bremen,44
Englisch,Schularten mit mehreren Bildungsgängen,7. Klassenstufe,Hamburg,0
Englisch,Schularten mit mehreren Bildungsgängen,7. Klassenstufe,Hessen,1206
Englisch,Schularten mit mehreren Bildungsgängen,7. Klassenstufe,Mecklenburg-Vorpommern,5365
Englisch,Schularten mit mehreren Bildungsgängen,7. Klassenstufe,Niedersachsen,15564
Englisch,Schularten mit mehreren Bildungsgängen,7. Klassenstufe,Nordrhein-Westfalen,14082
Englisch,Schularten mit mehreren Bildungsgängen,7. Klassenstufe,Rheinland-Pfalz,14464
Englisch,Schularten mit mehreren Bildungsgängen,7. Klassenstufe,Saarland,8
Englisch,Schularten mit mehreren Bildungsgängen,7. Klassenstufe,Sachsen,16820
Englisch,Schularten mit mehreren Bildungsgängen,7. Klassenstufe,Sachsen-Anhalt,7483
Englisch,Schularten mit mehreren Bildungsgängen,7. Klassenstufe,Schleswig-Holstein,2318
