Jahrgangsstufe,Schulart,Geschlecht,bundesland,anzahl
Klassenstufe 2,Integrierte Gesamtschulen,weiblich,Niedersachsen,144
Klassenstufe 2,Integrierte Gesamtschulen,weiblich,Nordrhein-Westfalen,143
Klassenstufe 2,Integrierte Gesamtschulen,weiblich,Rheinland-Pfalz,0
Klassenstufe 2,Integrierte Gesamtschulen,weiblich,Saarland,0
Klassenstufe 2,Integrierte Gesamtschulen,weiblich,Sachsen,0
Klassenstufe 2,Integrierte Gesamtschulen,weiblich,Sachsen-Anhalt,0
Klassenstufe 2,Integrierte Gesamtschulen,weiblich,Schleswig-Holstein,0
Klassenstufe 2,Integrierte Gesamtschulen,weiblich,Thüringen,442
Klassenstufe 2,Freie Waldorfschulen,männlich,Baden-Württemberg,821
Klassenstufe 2,Freie Waldorfschulen,männlich,Bayern,323
Klassenstufe 2,Freie Waldorfschulen,männlich,Berlin,234
Klassenstufe 2,Freie Waldorfschulen,männlich,Brandenburg,58
Klassenstufe 2,Freie Waldorfschulen,männlich,Bremen,34
Klassenstufe 2,Freie Waldorfschulen,männlich,Hamburg,111
Klassenstufe 2,Freie Waldorfschulen,männlich,Hessen,201
Klassenstufe 2,Freie Waldorfschulen,männlich,Mecklenburg-Vorpommern,33
Klassenstufe 2,Freie Waldorfschulen,männlich,Niedersachsen,274
Klassenstufe 2,Freie Waldorfschulen,männlich,Nordrhein-Westfalen,576
Klassenstufe 2,Freie Waldorfschulen,männlich,Rheinland-Pfalz,82
Klassenstufe 2,Freie Waldorfschulen,männlich,Saarland,50
Klassenstufe 2,Freie Waldorfschulen,männlich,Sachsen,75
Klassenstufe 2,Freie Waldorfschulen,männlich,Sachsen-Anhalt,42
Klassenstufe 2,Freie Waldorfschulen,männlich,Schleswig-Holstein,192
Klassenstufe 2,Freie Waldorfschulen,männlich,Thüringen,80
Klassenstufe 2,Freie Waldorfschulen,weiblich,Baden-Württemberg,867
Klassenstufe 2,Freie Waldorfschulen,weiblich,Bayern,324
Klassenstufe 2,Freie Waldorfschulen,weiblich,Berlin,254
Klassenstufe 2,Freie Waldorfschulen,weiblich,Brandenburg,50
Klassenstufe 2,Freie Waldorfschulen,weiblich,Bremen,48
Klassenstufe 2,Freie Waldorfschulen,weiblich,Hamburg,154
Klassenstufe 2,Freie Waldorfschulen,weiblich,Hessen,176
Klassenstufe 2,Freie Waldorfschulen,weiblich,Mecklenburg-Vorpommern,38
Klassenstufe 2,Freie Waldorfschulen,weiblich,Niedersachsen,256
Klassenstufe 2,Freie Waldorfschulen,weiblich,Nordrhein-Westfalen,621
Klassenstufe 2,Freie Waldorfschulen,weiblich,Rheinland-Pfalz,92
Klassenstufe 2,Freie Waldorfschulen,weiblich,Saarland,41
Klassenstufe 2,Freie Waldorfschulen,weiblich,Sachsen,104
