address,fax,full_time_school,id,lat,lon,name,official_id,phone,school_type,school_type_entity,state
"Friedrich-Ebert-Str. 10, 27570 Bremerhaven",0471/391-3849,false,HB-452,53.539161,8.592109,Wilhelm-Raabe-Schule,452,0471/391-3830,Oberschule,Oberschule,HB
"Georg-Büchner-Str. 5, 27574 Bremerhaven",0471/391-39129,true,HB-456,53.530746,8.613503,"Schulzentrum Carl von Ossietzky, Oberschule",456,0471/391-39120,Oberschule,Oberschule,HB
"Dreibergen 21, 27572 Bremerhaven",0471/3001030,true,HB-457,53.507238,8.601971,Paula-Modersohn-Schule,457,0471/3001013,Oberschule,Oberschule,HB
"Fuhrenweg 3-19, 27578 Bremerhaven",0471/391-38026,false,HB-458,53.595541,8.615493,Johann-Gutenberg-Schule,458,0471/391-3800,Oberschule,Oberschule,HB
"Lissaer Str. 7, 28237 Bremen",0421/49614620,true,HB-501,53.113966,8.774221,Gesamtschule Bremen-West,501,0421/361-14611,Oberschule,Oberschule,HB
"Walliser Str. 125, 28325 Bremen",0421/361-59831,true,HB-502,53.070873,8.952859,Gesamtschule Bremen-Ost,502,0421/361-59802,Oberschule,Oberschule,HB
"Steinkamp 6, 28717 Bremen",0421/361-7021,false,HB-503,53.178193,8.693797,Oberschule Lesum,503,0421/361-7185,Oberschule,Oberschule,HB
"Hemelinger Str. 11, 28205 Bremen",0421/361-18180,true,HB-504,53.071214,8.839586,Gesamtschule Bremen-Mitte,504,0421/361-3135,Oberschule,Oberschule,HB
"Hermannsburg 32 F, 28259 Bremen",0421/361-15964,true,HB-505,53.042129,8.736376,Oberschule an der Hermannsburg,505,0421/361-15960,Oberschule,Oberschule,HB
"Schulstr. 24, 28199 Bremen",0421/361-59193,true,HB-506,53.070236,8.7984,Oberschule am Leibnizplatz,506,0421/361-5785,Oberschule,Oberschule,HB
"Neuenkirchener Weg 119, 28779 Bremen",0421/361-79025,true,HB-509,53.202226,8.559242,Oberschule In den Sandwehen,509,0421/361-79043,Oberschule,Oberschule,HB
"Bergiusstr. 125, 28357 Bremen",0421/361-16395,true,HB-511,53.109939,8.897261,Wilhelm-Focke-Oberschule,511,0421/361-16084,Oberschule,Oberschule,HB
"Kirchheide 9, 28757 Bremen",0421/361-79515,true,HB-512,53.172983,8.620902,Gerhard-Rohlfs-Oberschule,512,0421/361-79513,Oberschule,Oberschule,HB
"Hans-Böckler-Str. 30, 27578 Bremerhaven",0471/391-35010,true,HB-551,53.587959,8.615071,Heinrich-Heine-Schule,551,0471/391-35013,Oberschule,Oberschule,HB
"Hafenstr. 122, 27576 Bremerhaven",0471/309493-19,true,HB-552,53.557631,8.586674,Schule am Ernst-Reuter-Platz,552,0471/309493-10,Oberschule,Oberschule,HB
"Flensburger Str. 10, 27570 Bremerhaven",0471/309-55549,true,HB-553,53.52374,8.595368,Oberschule Geestemünde,553,0471/309-55540,Oberschule,Oberschule,HB
"Alwin-Lonke-Str. 71, 28719 Bremen",0421/361-16609,false,HB-601,53.153143,8.716446,Schulzentrum des Sekundarbereichs II,601,0421/361-16560,Berufsbildende Schule,Berufsbildende Schule,HB
"Bördestr. 10, 28717 Bremen",0421/361-7182,false,HB-602,53.172909,8.691515,Schulzentrum des Sekundarbereichs II,602,0421/361-7180,Berufsbildende Schule,Berufsbildende Schule,HB
"Eggestedter Str. 20, 28779 Bremen",0421/361-79150,false,HB-603,53.190144,8.566084,Schulzentrum des Sekundarbereichs II,603,0421/361-79155,Berufsbildende Schule,Berufsbildende Schule,HB
"Lange Reihe 81, 28219 Bremen",0421/361-8527,false,HB-618,53.104501,8.776595,Schulzentrum des Sekundarbereichs II,618,0421/361-8516,Berufsbildende Schule,Berufsbildende Schule,HB
"Walliser Str. 125, 28325 Bremen",0421/361-16726,false,HB-698,53.070873,8.952859,Helmut Schmidt Schule,698,0421/361-18250,Berufsbildende Schule,Berufsbildende Schule,HB
"Rübekamp 37-39, 28219 Bremen",0421/361-14703,false,HB-699,53.109674,8.777963,Schulzentrum des Sekundarbereichs II,699,0421/361-14700,Berufsbildende Schule,Berufsbildende Schule,HB
"Tiefer 12, 28195 Bremen",0421/3694-214,true,HB-801,53.073202,8.807241,St.-Johannis-Schule,801,0421/3694-171,Private Grundschule,Private Grundschule,HB
