address,fax,full_time_school,id,lat,lon,name,official_id,phone,school_type,school_type_entity,state
"Köhlerstrat 9, 18182 Rövershagen",038202/36117,false,MV-75335145,54.177689,12.239023,Verb. Regionalschule und Gymnasium Rövershagen - Europaschule,75335145,038202/36116,Kooperative Gesamtschule,Kooperative Gesamtschule,MV
"Schulstraße 13, 18299 Laage",038459/667829,false,MV-75335321,53.922044,12.348554,"RecknitzCampus Laage, Kooperative Gesamtschule mit Grundschule ",75335321,038459/66780,Kooperative Gesamtschule mit Grundschule,Kooperative Gesamtschule,MV
"Am Feldrain 16, 18196 Dummerstorf",038208/60207,false,MV-75435123,54.014684,12.232728,Regionale Schule Dummerstorf,75435123,038208/594,Regionale Schule,Regionale Schule,MV
"Schulstraße 5, 18211 Rethwisch",038203/81130,false,MV-75435126,54.139187,11.938368,Regionale Schule mit Grundschule Rethwisch,75435126,038203/81130,Regionale Schule mit Grundschule,Regionale Schule,MV
"Panzower Weg 38, 18233 Neubukow",038294/78870,false,MV-75435130,54.028927,11.671853,"Regionale Schule ""Heinrich Schliemann""",75435130,038294/78257,Regionale Schule,Regionale Schule,MV
"John-Brinckman-Straße 16, 18190 Sanitz",038209/49868,false,MV-75435131,54.073549,12.374049,Regionale Schule Sanitz,75435131,038209/241,Regionale Schule,Regionale Schule,MV
"Rudolf-Breitscheid-Straße 16, 18258 Schwaan",03844/813736,false,MV-75435132,53.93841,12.105254,Regionale Schule mit Grundschulteil Schwaan,75435132,03844/813695,Regionale Schule mit Grundschule,Regionale Schule,MV
"St. Jürgen-Straße 61, 18195 Tessin",038205/78702,false,MV-75435133,54.024085,12.459365,"Regionale Schule ""Anne Frank"", Tessin",75435133,038205/13323,Regionale Schule,Regionale Schule,MV
"Beethovenstraße 1, 18209 Bad Doberan",038203/736683,false,MV-75435135,54.107125,11.903733,"Regionale Schule ""Am Kamp"", Bad Doberan",75435135,038203/62062,Regionale Schule,Regionale Schule,MV
"Ehm-Welk-Straße 24, 18209 Bad Doberan",038203/734593,false,MV-75435136,54.10371,11.918346,"Regionale Schule mit Grundschule  Buchenberg, Bad Doberan",75435136,038203/65206,Regionale Schule mit Grundschule,Regionale Schule,MV
"Schulstraße 5, 18059 Papendorf",0381/4003902,false,MV-75435139,54.03376,12.132217,"Regionale Schule mit Grundschule ""Warnowschule"", Papendorf",75435139,0381/4000355,Regionale Schule mit Grundschule,Regionale Schule,MV
"Seestraße 9, 18239 Satow",038295/777914,false,MV-75435141,53.993953,11.892047,"Regionale Schule mit Grundschule ""Schule am See"", Satow",75435141,038295/77790,Regionale Schule mit Grundschule,Regionale Schule,MV
"Dr.-Winkler-Straße 1, 18246 Bützow",038461/52295,false,MV-75435320,53.85,11.98333,"Käthe-Kollwitz-Schule, Regionale Schule, Bützow",75435320,038461/2396,Regionale Schule,Regionale Schule,MV
"Trotschestraße 8, 18273 Güstrow",03843/680633,false,MV-75435322,53.798979,12.169734,"2. Regionale Schule ""Richard Wossidlo"", Güstrow",75435322,03843/681093,Regionale Schule,Regionale Schule,MV
"Schützenplatz 10, 17179 Gnoien",039971/30611,false,MV-75435328,53.972388,12.702682,"Warbel-Schule Gnoien, Regionale Schule",75435328,039971/12117,Regionale Schule,Regionale Schule,MV
"Schulstraße 7, 18249 Bernitt",038464/22858,false,MV-75435330,53.903285,11.894342,Regionale Schule mit Grundschule Bernitt,75435330,038464/20250,Regionale Schule mit Grundschule,Regionale Schule,MV
"Werner-Seelenbinder-Straße 1, 18273 Güstrow",03843/344567,false,MV-75435333,53.774185,12.18103,"5. Regionale Schule ""Schule am Inselsee"", Güstrow",75435333,03843/331142,Regionale Schule mit Grundschule,Regionale Schule,MV
"Wendenstraße 13, 18273 Güstrow",03843/211123,false,MV-75435334,53.803909,12.190593,"3. Regionalschule ""Thomas Müntzer"", Güstrow",75435334,03843/214075,Regionale Schule,Regionale Schule,MV
"Klenzer Weg 6, 17168 Jördenstorf",039977/30314,false,MV-75435338,53.87674,12.619305,"Johann-Heinrich-von-Thünen-Schule 
Regionale Schule mit Grundschule, Jördenstorf",75435338,039977/30224,Regionale Schule mit Grundschule,Regionale Schule,MV
"Dobbiner Chaussee 7, 18292 Krakow am See",038457/22242,false,MV-75435339,53.6478,12.273376,Regionale Schule Krakow am See mit Grundschule,75435339,038457/22241,Regionale Schule mit Grundschule,Regionale Schule,MV
"Schulstraße 15, 18279 Lalendorf",038452/22347,false,MV-75435341,53.75716,12.389669,"Johann-Pogge-Schule, Regionale Schule mit Grundschule, Lalendorf",75435341,038452/20241,Regionale Schule mit Grundschule,Regionale Schule,MV
"Straße der Freundschaft 5, 17166 Teterow",03996/158618,false,MV-75435346,53.773102,12.583507,Regionale Schule Teterow,75435346,03996/158600,Regionale Schule,Regionale Schule,MV
"Dorfstraße 49, 18276 Zehna",038458/20234,false,MV-75435348,53.716356,12.133358,Regionale Schule mit Grundschule Zehna,75435348,038458/20214,Regionale Schule mit Grundschule,Regionale Schule,MV
"Alexandrinenplatz 11, 18209 Bad Doberan",038203/17149,false,MV-75535142,54.104877,11.903134,"Friderico-Francisceum, Gymnasium Bad Doberan",75535142,038203/62395,Gymnasium,Gymnasium,MV
"Groß Lüsewitzer Weg 4, 18190 Sanitz",038209/80493,false,MV-75535146,54.072436,12.371758,Gymnasium Sanitz,75535146,038209/80492,Gymnasium,Gymnasium,MV
"Dr.-Winckler-Straße, 18246 Bützow",038461/52295,false,MV-75535349,53.8455828,11.9590493,Geschwister-Scholl-Gymnasium Bützow,75535349,038461/4301,Gymnasium,Gymnasium,MV
"Am Wall 6, 18273 Güstrow",03843/686697,false,MV-75535351,53.791308,12.171831,"Gymnasium ""John Brinckman"", Güstrow",75535351,03843/686693,Gymnasium,Gymnasium,MV
"Constantin-Kirchhoff-Straße 6, 17166 Teterow",03996/120685,false,MV-75535354,53.775935,12.562349,Europaschule Gymnasium Teterow,75535354,03996/120683,Gymnasium,Gymnasium,MV
"Am Wirtschaftshof 10, 19300 Balow",038752/80713,false,MV-75135402,53.265782,11.718834,Grundschule Balow,75135402,038752/80713,Grundschule,Grundschule,MV
"R.-Breitscheid-Straße 32, 19258 Boizenburg/Elbe",038847/62168,false,MV-75135403,53.381549,10.723633,"Grundschule ""An den Eichen"", Boizenburg",75135403,038847/54310,Grundschule,Grundschule,MV
"An der Quöbbe 10, 19258 Boizenburg/Elbe",038847/37880,false,MV-75135404,53.376823,10.723415,"Grundschule Ludwig Reinhard, Boizenburg",75135404,038847/54322,Grundschule,Grundschule,MV
