"Name","Straße","PLZ","Ort","Bundesland","Type","Jahr","Titel","id"
"Pestalozzi Gymnasium","Friedrich-Engels-Straße 72","03172","Guben","Brandenburg","","","Schule ohne Rassismus - Schule mit Courage","1"
"Berufliche Schulen am Gradierwerk","Am Gradierwerk 4-6","61231","Bad Nauheim","Hessen","","","Schule ohne Rassismus - Schule mit Courage","0"
"Hegel-Gymnasium Stuttgart-Vaihingen","Krehlstraße 65","70563","Stuttgart","Baden-Württemberg","","","Schule ohne Rassismus - Schule mit Courage","0"
"Sportgymnasium Neubrandenburg","Lessingstraße 1","17033","Neubrandenburg","Mecklenburg-Vorpommern","","","Schule ohne Rassismus - Schule mit Courage","0"
"Paul-Gerhardt-Schule","Paul-Gerhardt-Straße 1-3","37586","Dassel","Niedersachsen","","","Schule ohne Rassismus - Schule mit Courage","0"
"Sekundarschule ""Pablo Neruda""","W.-Hellge-Straße 75","39218","Schönebeck","Sachsen-Anhalt","","","Schule ohne Rassismus - Schule mit Courage","0"
"André-Mouton-Realschule","Bei der Eiche 5","38642","Goslar","Niedersachsen","","","Schule ohne Rassismus - Schule mit Courage","1"
"Glocksee-Schule","Am Lindehofe 14","30519","Hannover","Niedersachsen","","","Schule ohne Rassismus - Schule mit Courage","0"
"Albert-Einstein-Gymnasium","Parsevalplatz 2","67227","Frankenthal","Rheinland-Pfalz","","","Schule ohne Rassismus - Schule mit Courage","0"
"Naabtal-Realschule","Rotbühlring 2","92507","Nabburg","Bayern","","","Schule ohne Rassismus - Schule mit Courage","2"
"Windeck-Gymnasium","Humboldtstraße 3","77815","Bühl","Baden-Württemberg","","","Schule ohne Rassismus - Schule mit Courage","0"
"Gymnasium Englisches Institut gGmbH","Rheinstraße 14","69126","Heidelberg","Baden-Württemberg","","","Schule ohne Rassismus - Schule mit Courage","0"
"Emil-Fischer-Gymnasium","Emil-Fischer-Straße 23-27","53879","Euskirchen","Nordrhein-Westfalen","","","Schule ohne Rassismus - Schule mit Courage","0"
"Realschule plus Rülzheim (geschlossen seit Sommer 2013)","Schulstraße 17","76761","Rülzheim","Rheinland-Pfalz","","","Schule ohne Rassismus - Schule mit Courage","0"
"Evangelisches Gymnasium","Im Tiergarten 5-7","57076","Siegen","Nordrhein-Westfalen","","","Schule ohne Rassismus - Schule mit Courage","1"
"Berufskolleg Schloß Neuhaus","An der Kapelle 2","33104","Paderborn","Nordrhein-Westfalen","","","Schule ohne Rassismus - Schule mit Courage","1"
"Kepler Gymnasium Ulm","Karl-Serfold-Straße 16","89073","Ulm","Baden-Württemberg","","","Schule ohne Rassismus - Schule mit Courage","0"
"Europaschule Gymnasium Gommern","Magdeburger Straße 26","39245","Gommern","Sachsen-Anhalt","","","Schule ohne Rassismus - Schule mit Courage","1"
"Maximilian-Kolbe-Schule - Berufliche Oberschule mit Fachoberschule","Kerschensteiner Straße 7","92318","Neumarkt i.d. Oberpfalz","Bayern","","","Schule ohne Rassismus - Schule mit Courage","0"
"Hannah-Arendt-Gymnasium","Bahnhofstraße 110","49525","Lengerich","Nordrhein-Westfalen","","","Schule ohne Rassismus - Schule mit Courage","0"
"Städt. Fürstenberg-Realschule","Wihostraße 101","48429","Rheine","Nordrhein-Westfalen","","","Schule ohne Rassismus - Schule mit Courage","3"
"Sekundarschule Alexander von Humboldt","Theaterplatz 3","06618","Naumburg / Saale","Sachsen-Anhalt","","","Schule ohne Rassismus - Schule mit Courage","0"
"Geschwister-Scholl-Gymnasium","Geschwister-Scholl-Straße 1","09599","Freiberg","Sachsen","","","Schule ohne Rassismus - Schule mit Courage","0"
"Städtische Berufsfachschule für Kinderpflege","Tumblingerstraße 6","80337","München","Bayern","","","Schule ohne Rassismus - Schule mit Courage","0"
"Rhön-Gymnasium","Franz-Marschall-Straße 7","97616","Bad Neustadt / Saale","Bayern","","","Schule ohne Rassismus - Schule mit Courage","0"
"Reuterstädter Gesamtschule","Straße am Wasserturm 1","17153","Reuterstadt Stavenhagen","Mecklenburg-Vorpommern","","","Schule ohne Rassismus - Schule mit Courage","0"
"Ernst-Abbe-Gymnasium","Ammerbacher Straße 21","07745","Jena","Thüringen","","","Schule ohne Rassismus - Schule mit Courage","0"
"Menzel-Oberschule","Altonaer Straße 26","10555","Berlin","Berlin","","","Schule ohne Rassismus - Schule mit Courage","0"
"Förderschule ""Heinrich Ernst Stötzner""","Bahnhofstraße 2 a","39264","Güterglück","Sachsen-Anhalt","","","Schule ohne Rassismus - Schule mit Courage","1"
"Droste-Hülshoff-Oberschule","Schönower Straße 8","14165","Berlin","Berlin","","","Schule ohne Rassismus - Schule mit Courage","0"
"Sekundarschule Heinrich Heine","Karl-Schmidt-Straße 24","39104","Magdeburg","Sachsen-Anhalt","","","Schule ohne Rassismus - Schule mit Courage","1"
"BBS Anne-Marie Tausch Wolfsburg","Bonhoefferstraße 33","38444","Wolfsburg","Niedersachsen","","","Schule ohne Rassismus - Schule mit Courage","2"
"Gymnasium Winsen","Bürgerweide 9","21423","Winsen-Luhe","Niedersachsen","","","Schule ohne Rassismus - Schule mit Courage","0"
"Hegel-Gymnasium","Geißlerstraße 4","39104","Magdeburg","Sachsen-Anhalt","","","Schule ohne Rassismus - Schule mit Courage","1"
"GBS Nordhorn - Gewerbliche Berufsbildende Schulen in Nordhorn","Denekamper Straße 1","48529","Nordhorn","Niedersachsen","","","Schule ohne Rassismus - Schule mit Courage","1"
"KBS Nordhorn - Kaufmännische Berufsbildende Schulen des Landkreises Grafschaft Bentheim","Am Bölt 5","48527","Nordhorn","Niedersachsen","","","Schule ohne Rassismus - Schule mit Courage","2"
"Käthe-Kollwitz-Oberschule","Hauptstraße 19","16567","Mühlenbecker Land","Brandenburg","","","Schule ohne Rassismus - Schule mit Courage","1"
"Sekundarschule Hagenberg Gernrode","Starenweg 20","06507","Gernrode","Sachsen-Anhalt","","","Schule ohne Rassismus - Schule mit Courage","0"
"Willy-Brandt-Gymnasium Oer-Erkenschwick","Christoph-Stöver-Straße 4","45739","Oer-Erkenschwick","Nordrhein-Westfalen","","","Schule ohne Rassismus - Schule mit Courage","1"
