"Name","Straße","PLZ","Ort","Bundesland","Type","Jahr","id"
"Berthold-Brecht-Realschule","","","Augsburg","","","","83"
"Berufsschule St. Erhard","","","Plattling","","","","4"
"Betty Staedtler-Mittelschule","","","Wassertrüdingen","","","","4"
"Brentano-VS","","","Aschaffenburg","","","","31"
"BS der Jugendsiedlung Traunreut e.V.","","","Traunreut","","","","7"
"Caspar-Löner-VS","","","Markt Erlbach","","","","1"
"Christoph-von-Schmid-Schule","","","Staatliche Realschule Thannhausen","","","","0"
"Dreifaltigkeits-Mittelschule","","","Amberg","","","","22"
"Erwin-Lesch-Schule","","","Neumarkt","","","","19"
"Förderzentrum Förderschwerpunkt Sprachen","","","Nürnberg","","","","138"
"Friedrich-von-Ellrodt-Mittelschule","","","Neudrossenfeld","","","","1"
"Fritz-Beck-Volksschule","","","Landsberg","","","","27"
"Fritz-Schäffer-Schule","","","Ostermünchen","","","","1"
"Gebrüder-Lachner-Mittelschule","","","Rain","","","","8"
"Gottfried-Kölwel-Volksschule","","","Beratzhausen","","","","1"
"Greta-Fischer-Schule Sonderpädagogisches Förderzentrum","","","Dachau","","","","18"
"Grundschule Hallerndorf","","","Hallerndorf","","","","1"
"Grund-und Mittelschule Siegsdorf","","","Siegsdorf","","","","1"
"Gymnasium Neutraubling","","","Neutraubling","","","","5"
"Gymnasium Penzberg","","","Penzberg","","","","7"
"Hans-Maier Realschule","","","Ichenhausen","","","","4"
"Hauptschule Bad Windsheim","","","Bad Windsheim","","","","9"
"Hauptschule Gräfenberg","","","Gräfenberg","","","","4"
"Hauptschule Neutraubling","","","Neutraubling","","","","5"
"Hauptschule Schnieglinger Strasse","","","Nürnberg","","","","138"
"Heimvolksschule Liebfrauenhaus","","","Herzogenaurach","","","","9"
"HS an der Wittelsbacher Straße","","","München","","","","370"
"HS Dachau Ost","","","Dachau Ost","","","","0"
"HS Frontenhausen","","","Frontenhausen","","","","1"
"HS Landau a.d. Isar","","","Landau","","","","7"
"HS West Fürstenfeldbruck","","","Fürstenfeldbruck","","","","12"
"HS Zwiesel","","","Zwiesel","","","","5"
"Hugo-von-Trimberg-VS","","","Niederwern","","","","0"
"Joh.-Georg-August-Wirth-Realschule","","","Hof","","","","90"
"Johannes-Causpinian-Volksschule","","","Kolitzheim","","","","4"
"Johann-Winklhofer-RS Landsberg","","","Landsberg","","","","27"
"Karl-Dehm-Schule","","","Schwabach","","","","13"
"Konrad-Volksschule","","","Regensburg","","","","63"
"Krötensee-VS","","","Sulzbach-Rosenberg","","","","6"
"Lindenschule","","","Memmingen","","","","16"
"Maria Caspar-Filser Schule","","","Brannenburg","","","","4"
"Marieluise-Fleißer-Realschule","","","München","","","","370"
"Markgrafen-Realschule Staatliche Realschule","","","Burgau","","","","5"
"Martinschule Sonderpäd. Förderzentrum II","","","Augsburg","","","","83"
"Max-Dingler-Volksschule","","","Murnau","","","","8"
"Max-Joseph-Volksschule","","","Großkarolinenfeld","","","","1"
"Mercator-Mittelschule","","","Königsbrunn","","","","10"
"Mittelschule Bad Neustadt","","","Bad Neustadt a.d. Saale","","","","0"
"Mittelschule Berngau","","","Berngau","","","","1"
"Mittelschule Burgau","","","Burgau","","","","5"
"Mittelschule Diedorf","","","Diedorf","","","","2"
"Mittelschule Ebelsbach","","","Ebelsbach","","","","2"
"Mittelschule Ebern","","","Ebern","","","","4"
"Mittelschule Erlangen Ernst-Penzoldt-Schule","","","Spardorf","","","","4"
"Mittelschule Freyung","","","Freyung","","","","9"
"Mittelschule Friesenried","","","Friesenried","","","","1"
"Mittelschule Hohenwart","","","Hohenwart","","","","3"
"Mittelschule Ingolstadt Auf der Schanz","","","Ingolstadt auf der Schanz","","","","0"
"Mittelschule Mammendorf","","","Mammendorf","","","","1"
"Mittelschule Mering","","","Mering","","","","4"
"Mittelschule Nabburg","","","Nabburg","","","","5"
"Mittelschule Nürnberg Bismarckstraße","","","Nürnberg","","","","138"
"Mittelschule Pfeffenhausen","","","Pfeffenhausen","","","","1"
"Mittelschule Tutzing","","","Tutzing","","","","4"
"Mittelschule Vohburg","","","Vohburg","","","","1"
"Montessori-VS","","","Moosach-Niederseeon","","","","0"
"Münster-Volksschule","","","Hof","","","","90"
"Nikolaus-Fey-Mittelschule","","","Wiesentheid","","","","3"
"Otfried-Preußler-VS","","","Stephanskirchen","","","","2"
"Paul-Klee-Gymnasium","","","Gersthofen","","","","7"
"Pauline-Thoma-Mittelschule","","","Kolbermoor","","","","3"
"Parzival-HS","","","Amorbach","","","","4"
"Pestalozzi-Mittelschule","","","Regensburg","","","","63"
"Prälat-Schilcher-Berufsschule","","","Augsburg","","","","83"
"Private Realschule Gut Warnberg","","","München","","","","370"
"Privates Förderzentrum – Förderschwerpunkt geistige Entwicklung","","","Marktredwitz","","","","7"
"Rektor-Werner-Ziegler-Schule","","","Senden","","","","21"
"Richard-Wagner-Gymnasium","","","Bayreuth","","","","39"
"Rückert-Volksschule","","","Coburg","","","","25"
"Sabel München","","","München","","","","370"
"Schiller-Volksschule","","","Augsburg-Lechhausen","","","","0"
"Schönbergschule VS","","","Aschaffenburg","","","","31"
"Sonderpäd. Förderzentrum Nürnberg an der Bärenschanze","","","Nürnberg","","","","138"
"Sonderpädagogisches Förderzentrum im Landkreis Weißenburg-Gunzenhausen","","","Weißenburg-Gunzenhausen","","","","0"
"St.Georg-VS","","","Bad Aibling","","","","6"
"St.Nikola Mittelschule Landshut","","","Landshut","","","","28"
"Staatliche Berufsschule Freising","","","Freising","","","","19"
"Staatliche Berufsschule I Fürth","","","Fürth","","","","32"
"Staatliche Berufsschule zur sonderpädagogischen Förderung","","","Ansbach","","","","28"
"Staatliche Realschule Ichenhausen","","","Ichenhausen","","","","4"
"Staatliche RS Buchloe","","","Buchloe","","","","5"
"Staatliche Wirtschaftsschule Wunsiedel","","","Wunsiedel","","","","5"
"Städtische Peter-Vischer-Schule","","","Nürnberg","","","","138"
"SV Salzachtal","","","Fridolfing","","","","1"
"Volkshochschule Kolbermoor","","","Kolbermoor","","","","3"
"Volksschule Großweinstein","","","Großweinstein","","","","0"
"VS Am Lauterberg","","","Lautertal","","","","1"
"VS Babenhausen","","","Babenhausen","","","","3"
"VS Bad Abbach","","","Abbach","","","","2"
"VS Bad Bocklet","","","Bocklet","","","","1"
"VS Bad Endorf","","","Bad Endorf","","","","1"
"VS Breitengüßbach","","","Breitengüßbach","","","","1"
"VS Buchenberg","","","Buchenberg","","","","1"
"VS Buchloe","","","Bouchloe","","","","0"
"VS Burgkunstadt","","","Burgkunstadt","","","","5"
"VS Dachau-Ost","","","Dachau-Ost","","","","0"
"VS Ebersdorf b. Coburg","","","Ebersdorf bei Coburg","","","","0"
"VS Feuchtwangen-Land","","","Feuchtwangen-Land","","","","0"
"VS FFB Nord","","","Fürstenfeldbruck","","","","12"
"VS Frensdorf-Pettstadt","","","Frensdorf-Pettstadt","","","","0"
"VS Fürth","","","Fürth","","","","32"
"VS Garching b. München","","","Garching","","","","7"
"VS Gemünden am Main","","","Gemünden am Main","","","","0"
"VS Hammelburg","","","","","","","21445"
"VS Herrsching","","","","","","","21445"
"VS Hohenbrunn","","","","","","","21445"
"VS Karlshuld","","","","","","","21445"
"VS Karlshuld","","","","","","","21445"
"VS Kronwinkl in Eching","","","","","","","21445"
"VS Lenting","","","","","","","21445"
"VS Lindenberg i. Allgäu","","","","","","","21445"
"VS Marktheidenfeld","","","","","","","21445"
"VS Mittenwald","","","","","","","21445"
"VS München am Winthirplatz","","","","","","","21445"
"VS München an der Zielstattstraße","","","","","","","21445"
"VS Nürnberg Hummelsteiner Weg","","","","","","","21445"
"VS Oberau","","","Oberau","","","","4"
"VS Passau St. Nikola","","","","","","","21445"
"VS Rosenheim-Aising","","","","","","","21445"
"VS Sennfeld","","","","","","","21445"
"VS Tutzing","","","","","","","21445"
"VS Unterhaching","","","","","","","21445"
"VS Waging a. See","","","","","","","21445"
"VS Wallerfing","","","","","","","21445"
"VS Wassertrüdingen","","","","","","","21445"
"VS Weiler","","","","","","","21445"
"VS Weißenburg i. Bayern","","","","","","","21445"
"VS Wilburgstetten","","","","","","","21445"
"Walter-Höllerer-Realschule","","","Staatliche RS","Sulzbach-Rosenberg","","","0"
"Wirtschaftsschule Begemann e.V","","","München","","","","370"
"Berufsbildungszentrum Lette-Verein","","","","","","","21445"
"Brillat-Savarin-Schule","","","OSZ Gastgewerbe","","","","0"
"Dreilinden Gymnasium","","","","","","","21445"
"Ellen Key Oberschule","","","","","","","21445"
"Erste Gemeinschaftsschule Berlin-Mitte","","","","","","","21445"
"Europäisches Gymnasium Bertha-von-Suttner","","","","","","","21445"
"Evangelische Schule Berlin Zentrum","","","","","","","21445"
"Ellen-Key-Schule","","","","","","","21445"
"FairBindung e.V.","","","","","","","21445"
"Frameworks e.V.","","","","","","","21445"
"Freie Montessori Schule Berlin","","","","","","","21445"
"Fritz Karsen Schule","","","","","","","21445"
"Fritz-Kühn-Schule Berlin","","","","","","","21445"
"Gottfried Keller Gymnasium","","","","","","","21445"
"Hans-Grade-Oberschule","","","","","","","21445"
"Heinz-Brandt-Schule Berlin","","","","","","","21445"
"Hermann-Ehlers-Schule","","","Berlin","","","","1305"
"Hermann-von-Helmholtz-Schule","","","","","","","21445"
"Jean-Krämer-Schule","","","","","","","21445"
"Kant-Oberschule Berlin","","","","","","","21445"
"Katholische Schule Salvator","","","","","","","21445"
"Katholische Schule St. Franziskus Berlin","","","","","","","21445"
