"Name","Straße","PLZ","Ort","Bundesland","Type","Jahr","Titel","id"
"Eduard-Stieler-Schule Fulda","","36037","Fulda","","Programm","","Fairtrade Schools","0"
"Eichendorff-Gymnasium","","96050","Bamberg","","Programm","","Fairtrade Schools","9"
"Einhard Gymnasium","","52066","Aachen","","Programm","","Fairtrade Schools","17"
"Einstein-Gymnasium","","33378","Rheda-Wiedenbrück","","Programm","","Fairtrade Schools","16"
"Elektronikschule Tettnang","","88069","Tettnang","","Programm","","Fairtrade Schools","0"
"Elly-Heuss-Knapp-Gymnasium Stuttgart","","70374","Stuttgart","","Programm","","Fairtrade Schools","0"
"Elsa-Brändström-Gymnasium","","46045","Oberhausen","","Programm","","Fairtrade Schools","9"
"EMIL DÖRLE SCHULEN","","79336","Herbolzheim","","Programm","","Fairtrade Schools","0"
"Emil Molt Schule Berlin","","14165","Berlin","","Programm","","Fairtrade Schools","4"
"Emil-von-Behring-Gymnasium","","91080","Spardorf","","Programm","","Fairtrade Schools","4"
"Emil-von-Behring-Schule","","73312","Geislingen","","Programm","","Fairtrade Schools","0"
"Emile Montessorischule München-Südost in Neubiberg","","85579","Neubiberg","","Programm","","Fairtrade Schools","3"
"Emsland-Gymnasium Rheine","","48431","Rheine","","Programm","","Fairtrade Schools","14"
"Erasmus Gymnasium","","41515","Grevenbroich","","Programm","","Fairtrade Schools","10"
"Erasmus- Gymnasium","","92224","Amberg","","Programm","","Fairtrade Schools","19"
"Erasmus-Gymnasium","","18107","Rostock","","Programm","","Fairtrade Schools","5"
"Erich Kästner Gemeinschaftsschule Elmshorn","","25337","Elmshorn","","Programm","","Fairtrade Schools","7"
"Erich Kästner Schule Rhauderfehn","","26817","Rhauderfehn","","Programm","","Fairtrade Schools","9"
"Erich-Klausener-Gymnasium","","53518","Adenau","","Programm","","Fairtrade Schools","0"
"Ernst Sigle Gymnasium","","70806","Kornwestheim","","Programm","","Fairtrade Schools","0"
"Ernst-Kahlkuhl-Gymnasium","","53227","Oberkassel","","Programm","","Fairtrade Schools","0"
"Ernst-Klee-Schule","","49497","Mettingen","","Programm","","Fairtrade Schools","7"
"Ernst-Mach-Gymnasium Hürth","","50354","Hürth","","Programm","","Fairtrade Schools","19"
"Ernst-Reuter-Schule II","","60439","Frankfurt","","Programm","","Fairtrade Schools","0"
"Erzbischöfliche Mädchenrealschule Hl. Blut","","85435","Erding","","Programm","","Fairtrade Schools","16"
"Erzbischöfliche Maria-Ward-Mädchenrealschule Traunstein- Sparz","","83278","Traunstein","","Programm","","Fairtrade Schools","12"
"Erzbischöfliche Maria-Ward-Realschule Nymphenburg","","80638","München","","Programm","","Fairtrade Schools","5"
"Erzbischöfliche Theresia-Gerhardinger-Mädchenrealschule München-Au","","81541","München","","Programm","","Fairtrade Schools","8"
"Erzbischöfliche Theresienschule Hilden","","40721","Hilden","","Programm","","Fairtrade Schools","8"
"Erzbischöfliches Suitbertus-Gymnasium","","40489","Düsseldorf","","Programm","","Fairtrade Schools","10"
"Erzbischöfliches Ursulinengymnasium Köln","","50668","Köln","","Programm","","Fairtrade Schools","5"
"Eschbach-Gymnasium","","70437","Stuttgart","","Programm","","Fairtrade Schools","0"
"ESPA","","48147","Münster","","Programm","","Fairtrade Schools","10"
"Euregio Gesamtschule Rheine","","48429","Rheine","","Programm","","Fairtrade Schools","14"
"Europaschule Dortmund","","44143","Dortmund","","Programm","","Fairtrade Schools","9"
"Evangelische Regelschule Gotha","","99867","Gotha","","Programm","","Fairtrade Schools","23"
"Evangelische-Schule-Ansbach","","91522","Ansbach","","Programm","","Fairtrade Schools","21"
"evangelisches Gymnasium Nordhorn","","48529","Nordhorn","","Programm","","Fairtrade Schools","10"
"Evangelisches Mörike-Gymnasium","","70178","Stuttgart","","Programm","","Fairtrade Schools","0"
"Fachakademie für Ernährungs- und Versorgungsmanagement","","94474","Vilshofen","","Programm","","Fairtrade Schools","10"
"Fachakademie für Sozialpädagogik","","89407","Dillingen Donau","","Programm","","Fairtrade Schools","0"
"Ferdinand-Steinbeis-Realschule","","71665","Vaihingen/Enz","","Programm","","Fairtrade Schools","0"
"Franz-Ludwig-Gymnasium Bamberg","","96047","Bamberg","","Programm","","Fairtrade Schools","7"
"Franz-Ludwig-von-Erthal-Gymnasium","","97816","Lohr am Main","","Programm","","Fairtrade Schools","0"
"Franz-Miltenberger-Gymnasium","","97769","Bad Brückenau","","Programm","","Fairtrade Schools","4"
"Franz-Schubert-Schule","","70195","Stuttgart","","Programm","","Fairtrade Schools","0"
"Franz-Stock Gymnasium","","59759","Arnsberg","","Programm","","Fairtrade Schools","8"
"Franz-Xaver-von-Schönwerth Realschule","","92224","Amberg","","Programm","","Fairtrade Schools","19"
"Französische Schule Tübingen","","72072","Tübingen","","Programm","","Fairtrade Schools","0"
"Freie christliche Schule Siegen (FcS)","","57074","Siegen","","Programm","","Fairtrade Schools","11"
"Freie Montessorischule Barnim e.V. (FMB e.V.)","","16225","Eberswalde","","Programm","","Fairtrade Schools","11"
"Freie Oberschule Finow","","16227","Eberswalde","","Programm","","Fairtrade Schools","7"
"Freie Schule Brigach","","78112","St. Georgen","","Programm","","Fairtrade Schools","0"
"Freie Waldorfschule Balingen","","72336","Balingen","","Programm","","Fairtrade Schools","0"
"Freie Waldorfschule Esslingen","","73734","Esslingen am Neckar","","Programm","","Fairtrade Schools","0"
"Freie Waldorfschule Filstal","","73035","Göppingen","","Programm","","Fairtrade Schools","0"
"Freie Waldorfschule Hannover-Maschsee","","30173","Hannover","","Programm","","Fairtrade Schools","15"
"Freie Waldorfschule Ulm","","89077","Ulm","","Programm","","Fairtrade Schools","0"
"Freiherr v. Stein Realschule","","40225","Düsseldorf","","Programm","","Fairtrade Schools","7"
"Freiherr-vom-Stein-Gymnasium","","46145","Oberhausen","","Programm","","Fairtrade Schools","7"
"Freiwillige Ganztagsgrundschule Scheidt","","66133","Scheidt","","Programm","","Fairtrade Schools","0"
"Fridericianum Schwerin","","19053","Schwerin","","Programm","","Fairtrade Schools","5"
"Fridtjof-Nansen-Realschule Gronau","","48599","Gronau","","Programm","","Fairtrade Schools","17"
"Friedensschule","","59063","Hamm","","Programm","","Fairtrade Schools","4"
"Friedensschule Münster","","48163","Münster","","Programm","","Fairtrade Schools","5"
"Friedrich-Alexander-Gymnasium","","91413","Neustadt an der Aisch","","Programm","","Fairtrade Schools","0"
"Friedrich-Bayer-Realschule","","42349","Wuppertal","","Programm","","Fairtrade Schools","6"
"Friedrich-Ebert-Gymnasium","","53113","Bonn","","Programm","","Fairtrade Schools","5"
"Friedrich-List-Berufskolleg Herford","","32051","Herford","","Programm","","Fairtrade Schools","9"
"Friedrich-List-Gymnasium","","97737","Gemünden am Main","","Programm","","Fairtrade Schools","0"
"Friedrich-v. Bodelschwingh Schulen","","33617","Bielefeld","","Programm","","Fairtrade Schools","10"
"Friedrich-von-Alberti Gymnasium","","74177","Bad Friedrichshall","","Programm","","Fairtrade Schools","0"
"Friedrich-Wöhler-Gymnasium Singen","","78224","Singen","","Programm","","Fairtrade Schools","0"
"Frobenius-Gymnasium","","97762","Hammelburg","","Programm","","Fairtrade Schools","4"
"Ganztagsgrundschule Bruchmühlbach-Martinshöhe","","66892","Bruchmühlbach-Miesau","","Programm","","Fairtrade Schools","0"
"Gebrüder-Ullrich-Realschule plus Maikammer-Hambach","","67487","Maikammer","","Programm","","Fairtrade Schools","0"
"Gemeinschaftsschule Bellevue","","66117","Saarbrücken","","Programm","","Fairtrade Schools","0"
"Gemeinschaftsschule Grömitz","","23743","Grömitz","","Programm","","Fairtrade Schools","2"
"Gemeinschaftsschule Langenau","","89129","Langenau","","Programm","","Fairtrade Schools","0"
"Gemeinschaftsschule Ossenmoorpark, Norderstedt","","22848","Norderstedt","","Programm","","Fairtrade Schools","2"
"Gemeinschaftsschule Theeltalschule Lebach","","66822","Lebach","","Programm","","Fairtrade Schools","0"
"Gemeinschaftsschule Wiesenfeld","","21509","Glinde","","Programm","","Fairtrade Schools","6"
"Georg-Büchner-Gymnasium","","50858","Köln","","Programm","","Fairtrade Schools","5"
"Georg-von-Langen-Schule","","37603","Holzminden","","Programm","","Fairtrade Schools","11"
"Gerhard-Thielcke-Realschule","","78315","Radolfzell","","Programm","","Fairtrade Schools","0"
"Gerhart Hauptmann Schule","","74076","Heilbronn","","Programm","","Fairtrade Schools","0"
"Gertrud-Bäumer-Realschule","","44147","Dortmund","","Programm","","Fairtrade Schools","4"
"Gertrud-Bäumer-Schule","","33615","Bielefeld","","Programm","","Fairtrade Schools","9"
"Gesamtschule Am Lauerhaas","","46485","Wesel","","Programm","","Fairtrade Schools","5"
"Gesamtschule Barmen","","42283","Wuppertal","","Programm","","Fairtrade Schools","6"
"Gesamtschule Barmen","","42283","Wuppertal","","Programm","","Fairtrade Schools","6"
"Gesamtschule Dortmund Scharnhorst","","44328","Dortmund","","Programm","","Fairtrade Schools","8"
"Gesamtschule Greven","","48268","Greven","","Programm","","Fairtrade Schools","11"
"Gesamtschule Hattingen","","45527","Hattingen","","Programm","","Fairtrade Schools","7"
"Gesamtschule Holsterhausen","","45147","Essen","","Programm","","Fairtrade Schools","5"
"Gesamtschule Ibbenbüren","","49074","Ibbenbüren","","Programm","","Fairtrade Schools","0"
"Gesamtschule Jüchen","","41363","Jüchen","","Programm","","Fairtrade Schools","6"
"Gesamtschule Schwerte","","58239","Schwerte","","Programm","","Fairtrade Schools","14"
"Gesamtschule Xanten Sonsbeck","","46509","Xanten","","Programm","","Fairtrade Schools","4"
"Geschwister-Scholl","","53340","Meckenheim","","Programm","","Fairtrade Schools","7"
"Geschwister-Scholl-Gesamtschule","","44532","Lünen","","Programm","","Fairtrade Schools","9"
"Geschwister-Scholl-Gymnasium","","50259","Pulheim","","Programm","","Fairtrade Schools","18"
"Geschwister-Scholl-Gymnasium","","40225","Düsseldorf","","Programm","","Fairtrade Schools","7"
"Geschwister-Scholl-Realschule","","58840","Plettenberg","","Programm","","Fairtrade Schools","7"
"Geschwister-Scholl-Realschule Herford","","32052","Herford","","Programm","","Fairtrade Schools","10"
"GGS Erkrath","","40699","Erkrath","","Programm","","Fairtrade Schools","12"
"GGS Grefrath","","50226","Frechen","","Programm","","Fairtrade Schools","15"
"GGS St. Nikolaus Beckum","","58802","Balve","","Programm","","Fairtrade Schools","5"
"GMS Meldorf","","25704","Meldorf","","Programm","","Fairtrade Schools","6"
"GMS-Klettgau","","79771","Klettgau","","Programm","","Fairtrade Schools","0"
"Gnadenthal-Schulen","","85049","Ingolstadt","","Programm","","Fairtrade Schools","16"
"Goethe-Gymnasium","","64625","Bensheim","","Programm","","Fairtrade Schools","0"
"Goethe-Gymnasium","","49477","Ibbenbüren","","Programm","","Fairtrade Schools","14"
"Goethe-Gymnasium","","44263","Dortmund","","Programm","","Fairtrade Schools","7"
"Goethe-Gymnasium","","71638","Ludwigsburg","","Programm","","Fairtrade Schools","0"
"Graf-Stauffenberg-Gymnasium","","49080","Osnabrück","","Programm","","Fairtrade Schools","10"
"Graf-Stauffenberg-Realschule","","96050","Bamberg","","Programm","","Fairtrade Schools","9"
"Graf-Stauffenberg-Wirtschaftsschule","","96050","Bamberg","","Programm","","Fairtrade Schools","9"
"Grete-Schickedanz-Grundschule","","91217","Hersbruck","","Programm","","Fairtrade Schools","4"
"Grund- und Mittelschule Bad Endorf","","83093","Bad Endorf","","Programm","","Fairtrade Schools","1"
"Grund- und Mittelschule Steingaden","","86989","Steingaden","","Programm","","Fairtrade Schools","1"
